vin,event,charge_mode,duration_minutes,km_driven,charge
-2.47174e+18,trip,0,87.04306354069584,34.43308956015498,-6.613447557897473
-2.47174e+18,charge,120,279.62843693719265,0.0,8.36058092095324
-2.47174e+18,trip,0,59.385236836252936,33.61092780115339,-8.003572478903124
-2.47174e+18,trip,0,183.6775586400097,141.1878253613466,-25.345530021696128
-2.47174e+18,charge,DC Charging,87.36939970846511,0.0,21.223432090925414
-2.47174e+18,charge,120,390.3596514363152,0.0,9.691548312443231
-2.47174e+18,trip,0,122.27461095028652,79.80037852437864,-15.364419516242322
-2.47174e+18,charge,240,65.20259432824948,0.0,10.57533490794357
-2.47174e+18,trip,0,88.0176083341126,56.68677446254938,-12.04837540380889
-2.47174e+18,trip,0,55.0435877172221,31.681834587822703,-5.491860933306739
-2.47174e+18,charge,240,122.07042012237004,0.0,8.619843196834623
-2.47174e+18,trip,0,41.46359972865822,22.819437282140225,-4.959155894139485
-2.47174e+18,trip,0,147.88851813231062,102.55671868204855,-20.320903712400053
-2.47174e+18,charge,240,126.89359470354606,0.0,9.55787869159522
-2.47174e+18,charge,240,112.23513175370633,0.0,8.154052072395757
-2.47174e+18,trip,0,55.65369670374994,33.958819980399234,-7.274180831995821
-2.47174e+18,trip,0,121.90769693872991,77.48989611864161,-14.973952343101717
-2.47174e+18,charge,120,305.5919621741608,0.0,8.733595186519096
-2.47174e+18,charge,120,75.50748409713356,0.0,6.808970807652329
-2.47174e+18,trip,0,76.38797477274673,48.07905645822222,-10.139813362113728
-2.47174e+18,trip,0,32.97360145467666,16.32230160770397,-1.845906074420384
-2.47174e+18,trip,0,28.18249462128893,11.98052318641123,-1.2266609262720465
-2.47174e+18,charge,120,81.20014083051758,0.0,2.923167534530819
-2.47174e+18,trip,0,111.81639605581962,75.03086933708062,-14.919799201683595
-2.47174e+18,trip,0,49.94251594200412,27.178650323968853,-4.421800354552147
-2.47174e+18,trip,0,36.96912921407345,18.237203392132997,-2.222450889991819
-2.47174e+18,trip,0,38.8243595567642,17.080701261152996,-3.134348657234696
-2.47174e+18,trip,0,34.43235214229014,18.854938413811155,-2.879166498105036
-2.47174e+18,charge,DC Charging,41.579788552840895,0.0,34.68346247151106
-2.47174e+18,trip,0,155.87867649689215,131.4417160985234,-23.99840869857683
-2.47174e+18,charge,DC Charging,47.83534337077473,0.0,30.668760816110407
-2.47174e+18,trip,0,119.23692032553797,83.66824098933014,-15.793181499467025
-2.47174e+18,charge,120,99.14768878127734,0.0,3.956228115762329
-2.47174e+18,trip,0,55.31654320937479,32.7353562268374,-6.169185294400634
-2.47174e+18,trip,0,92.6477991612996,66.9164038682345,-12.450903901673747
-2.47174e+18,trip,0,68.06380295353223,42.908670751547945,-10.551817722965254
-2.47174e+18,trip,0,153.22029090703865,111.66685807118586,-17.682054896142866
-2.47174e+18,trip,0,69.23647175334959,17.051994365957906,-2.441011919582479
-2.47174e+18,charge,0,154.4534661401076,0.0,5.437793449235585
-2.47174e+18,trip,0,52.00390055666558,27.16734001013757,-5.668242715130276
-2.47174e+18,trip,0,112.63097531173982,81.93011005526542,-15.436454393832562
-2.47174e+18,trip,0,73.7113225348382,39.28757262244304,-8.864847654733452
-2.47174e+18,charge,120,135.4163685211594,0.0,4.909451636962018
-2.47174e+18,trip,0,35.720478070846745,17.84483074100359,-3.6274182765279903
-2.47174e+18,trip,0,177.1705138475048,130.40605878180324,-24.0316366697968
-2.47174e+18,charge,120,93.43208843197876,0.0,3.961290791242021
-2.47174e+18,trip,0,239.66452607236465,178.27359490153853,-32.07251843150068
-2.47174e+18,charge,120,56.180495361849566,0.0,0.5496137382093735
-2.47174e+18,trip,0,42.13452768166725,15.54045432681424,-1.5643613650132266
-2.47174e+18,charge,120,625.7181755621317,0.0,13.569357887438898
-2.47174e+18,charge,120,82.86718572350917,0.0,3.703543987296996
-2.47174e+18,trip,0,158.37714802531042,116.53861091759744,-23.594360565391185
-2.47174e+18,charge,240,65.82310147916935,0.0,7.413785665329755
-2.47174e+18,charge,240,60.96084921370812,0.0,9.946938640794926
-2.47174e+18,charge,120,199.71944073854348,0.0,8.317822962748878
-2.47174e+18,charge,120,392.4906721313943,0.0,10.12170086607108
-2.47174e+18,trip,0,65.60441646312223,27.41481441052962,-4.307382223357195
-2.47174e+18,trip,0,59.97594302451456,16.707839887583308,-1.85851280250634
-2.47174e+18,charge,240,105.62585550336674,0.0,9.580360967574135
-2.47174e+18,trip,0,158.08354327883464,114.966223700569,-22.14653529942408
-2.47174e+18,trip,0,120.61922170832844,88.50419756595784,-16.07485527379184
-2.47174e+18,trip,0,56.21454309956892,23.67316591853391,-5.912983106083047
-2.47174e+18,trip,0,122.39105715477594,93.4090416743611,-18.842344342492872
-2.47174e+18,trip,0,49.47371609759618,29.23175123827478,-6.013820277232966
-2.47174e+18,charge,120,49.86220960944166,0.0,8.020607274307523
