vin,odo,end_odo,soc,end_soc,event,charge_mode,duration_minutes
-2.47174e+18,9858.919099009574,9858.919099009574,66.93487361686591,78.05383008530714,charge,120,749.5645836692944
-2.47174e+18,9653.7210909358,9937.55853462842,75.63407240832463,61.20817761774544,trip,0,132.01433309650608
-2.47174e+18,9558.16249339399,9593.817201389822,66.04110542460214,56.04830354240936,trip,0,57.03110900306743
-2.47174e+18,10003.501240959784,10003.501240959784,58.96630334641465,64.19659281457278,charge,120,542.3758507279439
-2.47174e+18,10201.342288873086,10201.342288873086,54.06594147557765,60.43128489524246,charge,120,131.9574184838499
-2.47174e+18,10369.157672397849,10369.157672397849,63.68266359247677,72.98828033658945,charge,120,356.81966844540113
-2.47174e+18,10632.070303958386,10632.070303958386,55.96770956588916,68.40542772957039,charge,240,21.574224393959064
-2.47174e+18,10742.03991557981,10742.03991557981,57.95151051561108,70.97299539080393,charge,120,634.6888855690087
-2.47174e+18,10519.927756135372,10670.866990702723,72.96950570987326,54.64830586545878,trip,0,130.46646547786088
-2.47174e+18,13480.408867827402,13480.408867827402,50.97618952842996,65.54289633863257,charge,120,734.8284885970846
-2.47174e+18,13274.21293347722,13451.66847865706,66.3522056396443,49.60645977534781,trip,0,119.66000163178148
-2.47174e+18,13080.207144588849,13219.792618415007,68.62172389818357,59.82690969907799,trip,0,79.20097653559486
-2.47174e+18,13467.903833020202,13467.903833020202,56.30321487295757,70.44253137283235,charge,120,659.6002177017582
-2.47174e+18,13846.024024129283,13856.45208467339,55.65323301593788,50.75548522874195,trip,0,32.051218630002225
-2.47174e+18,13660.47231515023,13660.47231515023,51.68389981017778,53.078699821833226,charge,120,119.5162734127954
-2.47174e+18,14087.07215088931,14087.07215088931,37.94724672132075,45.62852987487933,charge,120,458.2355171868298
-2.47174e+18,11213.742157789977,11213.742157789977,49.45201877051048,70.68973912199273,charge,240,108.95682667464293
-2.47174e+18,11410.860890820091,11410.860890820091,56.24253287416498,64.19103054487904,charge,240,65.77942800388695
-2.47174e+18,11139.416954901895,11139.416954901895,54.63283788496143,60.83155039861008,charge,120,174.17196223269852
-2.47174e+18,11666.597640236952,11666.597640236952,59.07497876681153,70.68434573609969,charge,240,186.3163680011498
-2.47174e+18,11597.434492283655,11597.434492283655,62.53292665042458,70.47696732457977,charge,240,165.4700495456603
-2.47174e+18,11354.574919627636,11354.574919627636,50.83725075858784,61.16751475683059,charge,120,489.463266030782
