event,charge_mode,duration_b_e,duration_minutes,km_driven,charge,time
0.0,0.0,0.5095771737382389,0.009118541032972717,0.02607007105574085,0.5232641370628032,0.0
0.0,0.0,0.5176442536936987,0.005572441742372217,0.01685671789341088,0.5254115959016382,1.0
,,,,,,2.0
0.0,0.0,0.5530917183255719,0.007598784194143932,0.03623368037382682,0.511095203642738,3.0
0.0,0.0,0.5112859640736318,0.00810536980708686,0.03751446040984579,0.5082319251909578,4.0
0.0,0.0,0.5138292799216586,0.007598784194143932,0.03594447197859673,0.5089477448039029,5.0
0.0,0.0,0.5101732633901201,0.004559270516486359,0.018963807630087242,0.5204008586110231,6.0
0.0,0.0,0.5401764425348109,0.007092198581201003,0.027681374972022773,0.513958482094518,7.0
0.0,0.0,0.5201080909214747,0.00861195542002979,0.035985787463629605,0.5196850389980782,8.0
0.0,0.0,0.5235654109023861,0.00810536980708686,0.037473144924812914,0.511811023255683,9.0
0.0,0.0,0.5176442536936987,0.005572441742372217,0.01685671789341088,0.5254115959016382,1.0
,,,,,,2.0
0.0,0.0,0.5530917183255719,0.007598784194143932,0.03623368037382682,0.511095203642738,3.0
0.0,0.0,0.5112859640736318,0.00810536980708686,0.03751446040984579,0.5082319251909578,4.0
0.0,0.0,0.5138292799216586,0.007598784194143932,0.03594447197859673,0.5089477448039029,5.0
0.0,0.0,0.5101732633901201,0.004559270516486359,0.018963807630087242,0.5204008586110231,6.0
0.0,0.0,0.5401764425348109,0.007092198581201003,0.027681374972022773,0.513958482094518,7.0
0.0,0.0,0.5201080909214747,0.00861195542002979,0.035985787463629605,0.5196850389980782,8.0
0.0,0.0,0.5235654109023861,0.00810536980708686,0.037473144924812914,0.511811023255683,9.0
,,,,,,10.0
,,,,,,2.0
0.0,0.0,0.5530917183255719,0.007598784194143932,0.03623368037382682,0.511095203642738,3.0
0.0,0.0,0.5112859640736318,0.00810536980708686,0.03751446040984579,0.5082319251909578,4.0
0.0,0.0,0.5138292799216586,0.007598784194143932,0.03594447197859673,0.5089477448039029,5.0
0.0,0.0,0.5101732633901201,0.004559270516486359,0.018963807630087242,0.5204008586110231,6.0
0.0,0.0,0.5401764425348109,0.007092198581201003,0.027681374972022773,0.513958482094518,7.0
0.0,0.0,0.5201080909214747,0.00861195542002979,0.035985787463629605,0.5196850389980782,8.0
0.0,0.0,0.5235654109023861,0.00810536980708686,0.037473144924812914,0.511811023255683,9.0
,,,,,,10.0
0.0,0.0,0.5097361309787405,0.025835866260089366,0.14629813250139198,0.4667143876401473,11.0
0.0,0.0,0.5530917183255719,0.007598784194143932,0.03623368037382682,0.511095203642738,3.0
0.0,0.0,0.5112859640736318,0.00810536980708686,0.03751446040984579,0.5082319251909578,4.0
