duration_minutes,km_driven,charge,event,charge_mode
420.1927351568417,0.0,8.869954353715698,charge,
403.7035407926507,0.0,7.629673802109579,charge,
106.74929112736746,72.7585838955431,-16.416136223151888,trip,0
59.73426291649155,26.926459066239097,-4.796696469885134,trip,0
378.53536482582814,0.0,9.618489242280615,charge,
57.784349712676494,0.0,11.25563192552802,charge,0
32.78903403671788,13.816820543886015,-1.2728245329487606,trip,0
49.46919723478224,26.74767213975465,-4.37048247793804,trip,0
75.78214565303374,37.136705400462986,-4.875242880740373,trip,0
64.65687454074339,26.21388111770394,-2.830912872439157,trip,0
39.72035923428886,0.0,16.799727874854867,charge,0
109.70279633064494,0.0,14.069338724903504,charge,
44.76198351237438,17.246622494325624,-2.884687145873201,trip,0
274.0975841720676,0.0,8.422582042041782,charge,
53.24606571616258,0.0,9.33671971011367,charge,0
35.990462658887424,0.0,30.37899758581761,charge,
41.38392213941649,23.49451846901375,-3.964852258664976,trip,0
40.68769370225554,13.042550102530992,-0.7158802695686717,trip,0
52.04936127255781,22.27036578377984,-1.8710529164412577,trip,0
65.04600414963265,0.0,14.41056971365026,charge,0
46.34920374166326,23.31664730037564,-3.915499499506808,trip,0
33.299672888416154,15.226353612097943,-1.5580330206636006,trip,0
43.04058725232367,26.26521709371094,-5.9903013185283385,trip,0
100.3138127675806,89.35116368287093,-17.758502961240083,trip,0
27.8051861222018,0.0,22.53400722542564,charge,0
38.48928716601208,19.931655494644264,-2.9538409614305863,trip,0
39.05210068274681,19.4806137604461,-3.29802795313013,trip,0
153.67900144342264,134.6183758119313,-23.878407468847115,trip,0
79.99087255108267,0.0,23.727366434386862,charge,
108.11252430629052,62.61185734325706,-11.085871698691244,trip,0
48.798416356234206,15.414541849518628,-2.5712342581137198,trip,0
35.60507609503038,17.12599605309067,-2.615366133183457,trip,0
32.599289597732216,15.059175677388506,-1.853916426083984,trip,0
71.24352338525955,42.24949698289427,-9.020137730981205,trip,0
38.35276897445896,21.881439199869085,-4.80466518770433,trip,0
124.19461656245912,101.77113933572048,-20.7099886419064,trip,0
317.2738512915167,0.0,9.560634852094864,charge,
91.89944018144048,72.57007866502175,-14.570832644646307,trip,0
35.14963428854192,15.176992855322569,-1.7964950278800416,trip,0
170.0935555186608,0.0,9.789404500333715,charge,
56.67492293108515,13.376631244595968,-5.306044922340945,trip,0
319.0624532265171,0.0,8.78614542492761,charge,
97.42439526067984,54.05969907189581,-14.007751552600864,trip,0
110.76646089369902,0.0,4.13013268384374,charge,
35.2176378424425,14.630367134840997,-0.9338500985687688,trip,0
35.0638714934767,13.248539263626093,-0.9833860466423374,trip,0
127.28810723770758,104.58544071362697,-21.90577510399646,trip,0
106.02456701338954,0.0,16.22907774989652,charge,
57.131846512768085,0.0,17.1200170398657,charge,
36.32786250298473,13.666672887401852,-1.0914258728743818,trip,0
393.8026939830003,0.0,8.43497227413684,charge,
48.572193774061326,18.329942893659883,-3.1157383287854685,trip,0
56.89117754166438,21.518620167728063,-1.2487268638069082,trip,0
160.6757600686884,94.32208324203242,-14.156059633141822,trip,0
117.373567795739,69.7318548744527,-7.469710018861392,trip,0
148.78478989758813,141.78550810390658,-26.208990974357743,trip,0
34.27493466983024,0.0,22.56727266710557,charge,0
147.43897033484637,143.86865714643793,-27.60440755698732,trip,0
31.49123060862808,0.0,23.37429478029121,charge,0
106.27296842427984,90.52991591180027,-18.71170150213313,trip,0
63.02241399458429,43.82944413315874,-9.115370986674137,trip,0
53.22511128233293,23.038551366460563,-1.710687674560489,trip,0
73.72925826535602,32.805091891264496,-4.646889570945575,trip,0
144.49548090236237,122.01613898821414,-23.35704348889589,trip,0
73.16316866500271,0.0,8.27369108767914,charge,0
31.83817558524368,12.835447943438044,-1.207850755369677,trip,0
35.59200852917135,18.84642750127319,-3.595951416926382,trip,0
