duration_minutes,km_driven,charge,event,charge_mode,id,delta_soc,discharge,avg_speed,km_per_perc_of_battery,discharge_per_km,soc,end_soc
106.74929112736746,72.7585838955431,-16.416136223151888,0,0,3,-16.416136223151888,16.416136223151888,40.89502597749235,4.432138166161824,0.22562473517516435,100,83.58386377684812
59.73426291649155,26.926459066239097,-4.796696469885134,0,0,4,-4.796696469885134,4.796696469885134,27.04624557321375,5.613542410967668,0.17814063327395777,100,95.20330353011487
32.78903403671788,13.816820543886015,-1.2728245329487606,0,0,7,-1.2728245329487606,1.2728245329487606,25.283124586860907,10.855243740373623,0.09212137690476044,100,98.72717546705124
49.46919723478224,26.74767213975465,-4.37048247793804,0,0,8,-4.37048247793804,4.37048247793804,32.44160847746458,6.12007307540425,0.16339674178383023,100,95.62951752206196
75.78214565303374,37.136705400462986,-4.875242880740373,0,0,9,-4.875242880740373,4.875242880740373,29.402734705210595,7.617406211118504,0.13127828190918608,100,95.12475711925963
64.65687454074339,26.21388111770394,-2.830912872439157,0,0,10,-2.830912872439157,2.830912872439157,24.325841269533054,9.259868564982598,0.10799289352568464,100,97.16908712756084
44.76198351237438,17.246622494325624,-2.884687145873201,0,0,13,-2.884687145873201,2.884687145873201,23.117772459155418,5.978680398322721,0.16726098961244748,100,97.1153128541268
41.38392213941649,23.49451846901375,-3.964852258664976,0,0,17,-3.964852258664976,3.964852258664976,34.06325537226379,5.925698345422005,0.1687564809593398,100,96.03514774133502
40.68769370225554,13.042550102530992,-0.7158802695686717,0,0,18,-0.7158802695686717,0.7158802695686717,19.233162043502073,18.218898685934338,0.054888059769059305,100,99.28411973043133
52.04936127255781,22.27036578377984,-1.8710529164412577,0,0,19,-1.8710529164412577,1.8710529164412577,25.67220642784894,11.902584682713343,0.0840153652888809,100,98.12894708355874
46.34920374166326,23.31664730037564,-3.915499499506808,0,0,21,-3.915499499506808,3.915499499506808,30.183880737631302,5.95496112394155,0.1679272087905935,100,96.08450050049319
33.299672888416154,15.226353612097943,-1.5580330206636006,0,0,22,-1.5580330206636006,1.5580330206636006,27.43514087322104,9.77280546057535,0.1023247627341113,100,98.4419669793364
43.04058725232367,26.26521709371094,-5.9903013185283385,0,0,23,-5.9903013185283385,5.9903013185283385,36.61458000988535,4.384623693714897,0.22806974323325438,100,94.00969868147166
100.3138127675806,89.35116368287093,-17.758502961240083,0,0,24,-17.758502961240083,17.758502961240083,53.44298729222309,5.031458106456936,0.19874954314270982,100,82.24149703875992
38.48928716601208,19.931655494644264,-2.9538409614305863,0,0,26,-2.9538409614305863,2.9538409614305863,31.070965916321082,6.74770773203412,0.14819847564715827,100,97.04615903856941
39.05210068274681,19.4806137604461,-3.29802795313013,0,0,27,-3.29802795313013,3.29802795313013,29.930190826921567,5.906746103215171,0.16929794890890573,100,96.70197204686987
153.67900144342264,134.6183758119313,-23.878407468847115,0,0,28,-23.878407468847115,23.878407468847115,52.558270634582996,5.63766138874884,0.17737851407601637,100,76.12159253115288
108.11252430629052,62.61185734325706,-11.085871698691244,0,0,30,-11.085871698691244,11.085871698691244,34.74816136891218,5.6478966241913815,0.17705706505263305,100,88.91412830130875
