odo,end_odo,soc,end_soc,event,charge_mode,duration_minutes
14508.231913905518,14234.410045162645,96.62593602036165,95.46145760984038,3.108718665316701e-10,4.0077022276818753e-10,320.6472355403538
14766.593735489289,14476.613102229745,97.12435025125365,95.68571994299987,2.057197270914912e-10,2.337628975510597e-10,229.34260839600697
14861.783786940772,14559.026916745128,97.10497219709045,95.58555808051788,1.933196443133056e-10,2.0729789976030588e-10,200.15178195715998
14963.539069151322,14682.968517917981,97.15071791561965,95.64332728376657,1.8887149635702372e-10,1.9759011920541525e-10,192.71698272544896
15056.992685635936,14796.192553837393,97.17788641607281,95.68965475554991,1.8650707788765428e-10,1.9203594420105217e-10,188.5224257403296
15138.087482170013,14893.631642897824,97.25246768160393,95.78672811991301,1.8648498225957156e-10,1.9009527750313282e-10,189.88152845143344
15209.94092931699,14970.73644975362,97.31796735694948,95.85143820060682,1.8765516579151152e-10,1.8936384003609418e-10,191.66313739435884
15287.603417801976,15048.19403064833,97.35216360265721,95.86878215089725,1.886964775621891e-10,1.8838976975530386e-10,191.56428696529915
15381.876963812103,15141.60666314407,97.33315055541809,95.8237406374054,1.8823283025994895e-10,1.857762807048857e-10,187.1031512313532
15492.844622634997,15255.414467610066,97.24135948581007,95.70415750739288,1.8587533850222826e-10,1.813062699511647e-10,177.86633815163566
15604.208242712852,15375.37310490796,97.0948718562362,95.53571895340008,1.83305109385401e-10,1.7701589968055485e-10,167.9581130062819
15698.953079192297,15485.144787767103,96.99659782782743,95.43146840301692,1.8214111914858222e-10,1.7515218351036308e-10,162.92382616072373
15769.923822468463,15573.739396745088,97.08651483203424,95.53434506633651,1.8296262715011835e-10,1.7651014495640993e-10,166.37197171797536
15831.608791436243,15644.657610112987,97.2038999692438,95.64610253563497,1.847469015046954e-10,1.7860695952549577e-10,170.94929071424158
15900.8788328344,15718.42604441446,97.21648453632758,95.62954994429316,1.8572109984233976e-10,1.792672206647694e-10,170.55911492091522
15971.558882603875,15801.04669083211,97.2067056194811,95.59881334290714,1.8597798189148305e-10,1.7977195093408227e-10,169.31982301081277
16010.903910718656,15846.32644685687,97.4258895534558,95.80727597483566,1.9056440796703098e-10,1.850617118179798e-10,180.58946342317955
16102.850942916106,15948.21145531182,97.24114157122852,95.5586353896203,1.8838063115254044e-10,1.8249108688905835e-10,168.91279049867774
16084.85112372113,15942.835758861316,97.67269416064035,96.01826655896113,2.008447889238596e-10,1.9664668943732975e-10,198.77862253366692
16167.135735538403,16019.154797789342,97.6368635555711,95.89257787483815,2.0324287470430134e-10,1.969769364222884e-10,192.80345417875944
16276.321568713978,16139.166592819127,97.5494144340002,95.73140993118572,2.0228789653629064e-10,1.9440093310549855e-10,181.04598916619472
16331.711719487057,16201.528344361006,97.42098102750668,95.50005284522999,2.0737061277031897e-10,1.9700843840837477e-10,172.40272076711213
16238.815346036863,16085.184432831702,97.04274668833249,94.94400777731657,2.3332270793616773e-10,2.145641017705202e-10,166.6797343668907
15731.510751941574,15394.552414574235,95.5460984466056,92.41808893321496,5.407476797699928e-10,4.390287213027477e-10,268.8316090523665
10791.264421347238,10439.162552080797,97.83988912332481,95.07446659732425,3.582174191251397e-10,4.615877754986286e-10,947.2737766361912
10986.33231920527,10641.069148861865,98.05471476566876,95.30945624067603,1.6460480401292443e-10,1.849389635026455e-10,487.0025092443378
11021.40386304396,10632.50157223736,97.94914604664304,95.02366025371369,1.3989752624183893e-10,1.4719987520948052e-10,372.0620416761974
11060.497793777551,10705.188971573012,97.90962723728126,94.96441824353285,1.2696547200903297e-10,1.3021841878071428e-10,324.99379773226923
11070.204156199436,10758.955601120226,97.75683098057188,94.70555044301634,1.147852512076497e-10,1.1506545124575495e-10,271.6154955968187
11027.500700611185,10766.384152525938,97.2343480841491,93.7525784113431,1.0438284371048211e-10,1.0130603332072496e-10,210.02415114986283
