event,charge_mode,delta_soc,duration,delta_odo,vin,avg_speed
charge,240,32.79187863469123,353.7030480802059,0.0157560333725541,-2.47174e+18,0.002672756165049715
charge,240,30.31924461722373,200.3252110183239,0.0109331305620798,-2.47174e+18,0.003274614465099874
charge,240,30.202028691768646,139.03822419047356,0.010640063286246,-2.47174e+18,0.004591570418075732
charge,240,28.51998807191849,78.0090441852808,0.0125373068924545,-2.47174e+18,0.009642964112733056
charge,240,6.378768235445023,53.36898687109351,0.0405953224312725,-2.47174e+18,0.0456392277365044
charge,120,0.5163565695285826,19.14315301179886,0.0191634670561597,-2.47174e+18,0.06006366990123828
trip,0,-16.888955181837083,0.4297943759593181,0.6247330404512468,-2.47174e+18,87.21375737737162
trip,0,-19.6146688491106,0.6922051463043317,0.9446584592806176,-2.47174e+18,81.88252840859062
trip,0,-24.26810028851032,1.6714327675290406,2.519404456776101,-2.47174e+18,90.43993293851686
charge,240,26.81965354084969,411.4375983774662,0.0180631364000873,-2.47174e+18,0.0026341495971180925
charge,120,31.77030899524688,656.8690758347511,0.016336196786824,-2.47174e+18,0.0014921874742905726
charge,120,32.262187886238095,757.8826982975006,0.0182851485167248,-2.47174e+18,0.0014475972514849877
charge,120,32.83129755854607,812.309543967247,0.019266445787025,-2.47174e+18,0.0014230865016995422
charge,120,33.28275831341743,841.1813195943832,0.0197402871838221,-2.47174e+18,0.0014080403397455981
charge,120,33.61703644990921,855.1700422167778,0.0199077789636703,-2.47174e+18,0.0013967593330607244
charge,120,33.86211823821067,861.0156637430191,0.0199091465467518,-2.47174e+18,0.0013873717321380068
charge,120,34.04946221113205,862.3086247444153,0.0198181114665203,-2.47174e+18,0.0013789572014818458
charge,120,34.20095111727714,861.0231939554214,0.0196764235304272,-2.47174e+18,0.0013711424037280413
charge,120,34.33029081821441,858.2289556860924,0.0195073027582566,-2.47174e+18,0.0013637831230708301
trip,0,-7.48618457913399,0.204328250605613,0.2633970738352218,-2.47174e+18,77.3452735158844
trip,0,-6.0781862497329655,0.1452007553307339,0.1807412659491092,-2.47174e+18,74.68608501550376
trip,0,-6.364956006407738,0.1427737681951839,0.1716864570917096,-2.47174e+18,72.15042059701034
trip,0,-7.070978575944906,0.1600160081579815,0.1838707363076537,-2.47174e+18,68.94462813725015
trip,0,-7.927007886767384,0.1948063570016529,0.209965069017926,-2.47174e+18,64.66885544689215
trip,0,-8.860455331206325,0.2494440309237688,0.2499522957696172,-2.47174e+18,60.12225544398866
trip,0,-9.833313372731212,0.3296646466478705,0.3080258500485797,-2.47174e+18,56.06167112804106
trip,0,-10.8044644266367,0.4472022757690865,0.3935199899424333,-2.47174e+18,52.79758327691891
charge,120,27.994077676534644,397.87083238363266,0.0158585099225092,-2.47174e+18,0.0023915062827050667
charge,120,36.699731189012525,452.3625673055649,0.0098013964011443,-2.47174e+18,0.0013000275145918854
charge,240,38.23806843161583,489.5303426384926,0.0099824560085153,-2.47174e+18,0.0012235142714191827
charge,240,39.502721434831614,504.0744772553444,0.0098047617011616,-2.47174e+18,0.0011670610765156704
charge,240,40.48290703296661,521.5003300309181,0.0097896267940313,-2.47174e+18,0.0011263226000394941
charge,240,41.2352972149849,544.3185796737671,0.009931845803635,-2.47174e+18,0.0010947830378585537
charge,240,41.814190840721125,572.1524214148521,0.0102058357082341,-2.47174e+18,0.0010702570146951236
charge,240,42.12943398356437,612.3499306440353,0.0107712329399873,-2.47174e+18,0.001055399770715289
charge,240,42.176688396930686,662.7650556564331,0.0116114091194958,-2.47174e+18,0.0010511787566707474
charge,240,42.06082140803336,708.6710541844368,0.0124576692551272,-2.47174e+18,0.0010547349872612407
charge,240,29.24055334329604,325.02861696481705,0.0176581213047484,-2.47174e+18,0.0032596738348106406
charge,240,42.20498275756836,255.04329353570935,0.0055591175667473,-2.47174e+18,0.0013078056253933105
charge,240,44.650896173715594,254.41054978966713,0.0049955680855759,-2.47174e+18,0.0011781511630801391
charge,240,45.54418361186981,274.51862892508507,0.0051079406950975,-2.47174e+18,0.0011164140040546614
charge,240,46.0437647640705,300.94614467024803,0.0054155000177047,-2.47174e+18,0.001079694845130226
charge,240,46.34652608036994,325.01814526319504,0.005813989856847,-2.47174e+18,0.001073292049981809
charge,240,46.535135722160334,340.5026151537895,0.0063229825415191,-2.47174e+18,0.0011141733884181707
charge,240,46.67336841225624,341.3428221344948,0.0070715918793666,-2.47174e+18,0.0012430187050917873
charge,240,46.689522343873975,313.2182730138302,0.0084761891334892,-2.47174e+18,0.0016236962904999349
charge,240,46.34924060702323,242.18723545968533,0.0116468961118698,-2.47174e+18,0.0028854277368739077
charge,120,11.522121775150296,465.56217661499977,0.0292483425173486,-2.47174e+18,0.0037694225158074746
charge,240,21.825016093254092,146.1392439007759,0.010576712132547,-2.47174e+18,0.004342452520034221
trip,0,0.8308086693286896,0.2602311670489143,0.1776914511137874,-2.47174e+18,40.96929352364338
trip,0,-1.1952857136726325,0.2789070670260116,0.2011922189194592,-2.47174e+18,43.281560642713046
trip,0,-3.1947261095046997,0.3086396343132946,0.232140783649811,-2.47174e+18,45.12851063337556
trip,0,-7.358705911040303,167.84022769331932,24.86362293502316,-2.47174e+18,8.888318352542187
charge,240,25.810607361793515,285.67025578022003,0.0191911915699165,-2.47174e+18,0.00403077139077746
charge,120,33.29110173583031,559.6760360598564,0.0136488231123621,-2.47174e+18,0.0014632203881856805
charge,120,34.34906768202781,613.1482508182526,0.0147204372754004,-2.47174e+18,0.0014404774625799708
charge,240,35.67315716147422,497.2921090722084,0.0155409692383727,-2.47174e+18,0.0018750712856514802
charge,240,37.915531039237976,330.19884315133095,0.0209021948503504,-2.47174e+18,0.003798110493216514
charge,240,42.90797854661942,570.1223820447922,0.0191757147670159,-2.47174e+18,0.002018063002358256
charge,240,47.01385831832886,835.8616951704025,0.0208004667563272,-2.47174e+18,0.0014931034794281408
charge,240,48.65499784946441,1202.178878545761,0.0402755969162171,-2.47174e+18,0.002010129988222913
charge,240,49.9575043439865,1575.9428536891935,0.0953305018447281,-2.47174e+18,0.0036294654322610023
charge,120,51.11012899875641,1867.3848996162417,0.4096747948569827,-2.47174e+18,0.013163053688862105
charge,120,17.002826029062263,1174.2368488311768,0.2323476436613418,-2.47174e+18,0.011872271453205624
charge,240,44.15505374073982,312.16583758592606,0.0070996472821889,-2.47174e+18,0.0013645914627480017
charge,240,45.333483052253726,347.62946113944054,0.0064939104770473,-2.47174e+18,0.001120833163408289
charge,240,45.44442059397697,361.8564149737358,0.0066521043429474,-2.47174e+18,0.001102996227400897
charge,240,45.33104330897331,371.1216353774071,0.0070289918039634,-2.47174e+18,0.001136391597889252
charge,240,44.84091303944588,358.37783923745155,0.0075654730461565,-2.47174e+18,0.0012666195648013527
charge,240,44.01695427894592,312.26084768772125,0.008658758035267,-2.47174e+18,0.0016637547933501266
charge,240,41.69520964026451,194.81937561929223,0.0129514396669492,-2.47174e+18,0.003988753056757051
charge,120,28.06810265183448,405.3605698943138,0.0155118881482394,-2.47174e+18,0.0022960133718408302
charge,240,42.124013257026675,284.01040282845497,0.0057914453735747,-2.47174e+18,0.0012234999808241789
charge,240,44.917244529724115,247.78028601408005,0.004753406819816,-2.47174e+18,0.0011510375331988813
charge,240,50.872324806451786,381.0967253744602,0.0053335041938566,-2.47174e+18,0.0008397087414407944
trip,0,-3.984303641319272,0.8684593526995741,0.4631597639381652,-2.47174e+18,31.998717901887986
trip,0,-10.520046982169148,1.0729926457861438,0.6917373250034871,-2.47174e+18,38.68082382782832
trip,0,-14.00104438364506,1.4734234332572669,0.9930515946034576,-2.47174e+18,40.43854219454643
trip,0,-15.556597220897672,1.9839271602686497,1.3483088442881126,-2.47174e+18,40.77696614946893
trip,0,-65.84702754169702,1904.243877410889,289.95296355709434,-2.47174e+18,9.136003019256014
trip,0,-70.71344159580767,853.8758457899094,362.4356986284256,-2.47174e+18,25.467568880096927
trip,0,-5.4081311583518925,0.3547428530291654,0.3369067172134237,-2.47174e+18,56.9832566327798
trip,0,-7.7797781229019165,0.3942885902943089,0.3190593232357059,-2.47174e+18,48.55215155947836
trip,0,-7.689157897233969,0.5175370460492559,0.3622273776309157,-2.47174e+18,41.99437088371539
trip,0,-6.786819261312488,0.6836362205212936,0.4298887404511333,-2.47174e+18,37.72960479975709
trip,0,-5.643549731373781,0.842215811018832,0.4948523378916434,-2.47174e+18,35.253601137671716
