event,charge_mode,duration_b_e,duration_minutes,km_driven,charge
1,3,51.13232498516663,88.15509354024672,6.243721527767092,32.118784349062125
1,3,57.22488336913375,51.50950975604525,2.550631623894833,22.54276698628854
0,0,58.43229585044537,31.308008921987355,4.055974624028023,6.099030492851227
0,0,128.26423411747783,72.73029175769176,45.582632943933575,-10.883535378265378
1,2,72.2957909619654,46.97972298651508,1.6137514706253289,11.008460118061961
1,1,60.931114724815416,26.28852486557322,2.482363989738317,10.801598198749232
0,0,51.63328867306518,12.405504657584045,7.66996435895808,1.9947661113656494
0,0,55.4325132881786,11.825841922912055,7.347362593711399,9.988705713502426
0,0,70.80939870236216,23.43603775582722,9.957678911348026,-0.9652669975570944
0,0,85.11386185053561,69.17690659664835,43.522101711348355,-6.8888013146415545
1,3,60.04317908638404,74.5605966561061,5.749697290193236,26.67878966428657
1,3,50.74535303463381,45.87248761439249,3.1628300088555403,34.58162608809543
0,0,68.84754090663955,31.677886483932934,24.677574759820853,-4.43383253558531
0,0,45.89020495760451,11.321341591529377,9.353219560725192,-0.029296541479013172
0,0,57.4798648869255,18.17822321223914,6.533966046157396,1.1873859471181163
0,0,150.5601180115318,179.64655652062197,128.20596323572096,-24.751194402655543
0,0,141.29378967668708,183.62684736586013,132.53877709212725,-25.653216622005452
0,0,85.35984402064241,26.328010681487704,16.24161347943478,-3.1265631283308863
0,0,119.87534218209476,57.402217171268866,39.73229562750152,-6.609929498045219
0,0,90.15349655514547,103.272943568991,28.423441373342577,-5.27680963679947
1,3,48.57351045955329,89.05407882932948,6.4444133819357345,30.79840028081999
0,0,54.04811363569206,28.460332985546515,6.859803254318071,6.368060068630129
0,0,57.634353688881674,15.317153388478948,7.151752491160772,4.52115775049937
0,0,86.40226846102996,21.151412493689467,15.434654709540471,-1.5878844871022864
0,0,99.64930825600459,26.244417234722103,16.736434074120385,-2.060536869099167
0,0,122.71463637728266,61.64793329625697,39.495520096471054,-7.825725185756525
1,1,37.50131302222144,116.51035836929222,1.6410336579402618,5.662849358553487
1,1,51.68578486790466,437.3974761886447,5.706325237518295,10.929072703549721
1,3,28.45096903186095,78.37411977002687,3.6834989253974624,28.83657189859254
0,0,53.359663537650704,452.79255422263344,105.08353408596953,-18.24550652940352
1,2,37.28382878645789,147.68164319548106,5.525290125521113,13.146541217195292
1,2,49.221463493002375,67.82442456082372,2.614086422247054,16.688207459230526
0,0,66.39521866198629,34.895346222350476,17.08070548772767,-3.268875935277464
0,0,155.31327348144623,115.8160786687394,82.26776265293107,-16.405885970659277
0,0,115.37416844741347,35.334867218436685,26.685654200684777,-3.2240362848528292
0,0,83.80595665338842,19.520393489917552,14.35889987887512,-0.5523841625886234
0,0,139.14294557954236,46.31541338425064,34.59829509334925,-4.342337999119977
0,0,80.63518648507124,21.808395949365806,15.605261805169855,-1.428360248878505
0,0,121.49222498315794,88.14718093424541,45.489524321551706,-10.545414437695698
1,1,29.881865314062452,175.8920690953429,4.055014134933046,5.296329972714872
1,1,58.609283021620286,71.32473790261862,6.669390429759919,9.84629298532927
0,0,84.25592403772862,31.54799399684745,21.958137441644734,-3.0389738464707676
0,0,101.95164137254505,26.684293047945456,19.945645456819726,-2.1230126160139378
0,0,64.42886119241848,18.080834181032603,12.664663331672292,-1.67336709643547
1,3,48.14604144443001,35.863563137083105,1.9854716690326677,33.53021330825001
0,0,49.79592185367619,25.792793848927115,17.92953129749793,-3.7740360229860954
0,0,155.51425891311737,176.70009618402597,130.17482569903038,-24.2347265628064
0,0,121.48922520059568,45.68478015669155,36.674890127417314,-5.818066267607591
0,0,53.488654187827706,14.354821290616709,11.398290687577035,-0.09624376328291362
0,0,50.811348251005256,31.43086757297596,17.822160803303152,-1.566293175393639
0,0,68.95103340503738,38.13568339317512,22.804475207789427,-3.246243777458673
0,0,91.24391751653093,30.913294160441968,23.66567079277626,-3.1669063235597292
0,0,45.63972311365433,16.412489517492006,7.901412997039364,9.906687040023769
1,1,46.15118604052077,99.54021581021549,1.702591428692356,6.206695614483621
0,0,30.95278768879143,16.116570186686374,10.621863284279348,-1.4564630938521503
0,0,142.95716910746523,151.66627273731845,97.82336079680715,-19.776453765726032
0,0,130.58756571195408,343.8703555936968,33.226774428909344,-4.686125305913237
0,0,115.38316779510023,261.0718462897472,143.01084282119137,-27.55826060384836
0,0,89.97050981884786,39.26973043953632,26.031115575591755,-5.7177162124372245
0,0,93.65874247915599,97.94197970379841,32.13027979631197,-6.817669891474907
1,3,40.93456416473782,114.19217806887943,6.594876622662324,31.174495450871845
1,3,39.21568875655794,75.48370215679135,2.5863613251275983,27.2439441217834
1,3,43.80985575067098,68.53077907462388,1.6301009181133144,17.32391462945678
1,1,57.73784618728132,41.70677264246029,2.1974213570637042,11.56144916622354
1,2,51.073829225202644,51.91661921779063,1.403430158541616,13.91664243716221
0,0,79.57026367546496,58.14562341865412,29.860158361008235,-6.119399543260641
1,1,82.55354743364114,571.8911583713326,7.691926345400397,12.275677766998385
0,0,76.89295773864251,112.36277032467713,64.44681064998508,-13.856429181724948
1,3,39.43017320976105,67.22457401794999,3.811100623704996,31.71204666952788
1,3,19.862591556087864,85.25072591438624,5.6774031392293205,32.20555760757189
0,0,62.22102122658907,38.47309426785699,24.27667006328011,-2.8874932669861124
0,0,95.03564267523689,34.865203311570426,20.564711849520627,-3.8000988095838864
0,0,121.1847472705249,66.44564561137395,43.119723349104135,-9.163025084980575
1,2,50.371880105632954,92.26739842167014,1.544742424827842,5.812897733790592
1,1,46.566655925395025,49.125734246030596,1.6016014772918759,12.495962437747423
1,1,61.09310298317723,195.47437174118375,3.460817964265671,6.180174855597372
0,0,114.73671465293046,81.65076227154707,63.72984269922045,-12.792463797791306
0,0,63.54692511911162,16.70407934385222,11.973292925999903,-1.530637951044838
0,0,96.18905907042972,31.475026679888423,17.379587715896196,-3.1863160218215256
0,0,85.66582184199433,65.78329577630221,40.45264202029,-6.334604884992231
0,0,70.26343827602977,61.82217608705421,36.80200858735363,-6.864632867964218
