soc,end_soc,event,charge_mode,duration_minutes,km_driven
51.7243611865291,68.19973270819285,1,2,208.59607570930052,6.50320503567008
70.260252902548,62.652128665792084,0,0,251.6844364234155,44.60509948214906
74.04833386698563,82.62394558503536,1,1,387.18737297231405,6.309996331964173
84.20884721894151,74.49249021429569,0,0,105.08015042330675,55.605864619638304
73.93474061635484,79.26728198473276,1,1,55.738558667741586,3.3607344370257786
80.10945322107733,83.392639271408,1,1,755.8543650294786,21.943652970232254
60.06708630820866,63.77773919740004,1,1,420.61263274297016,7.921110948313908
52.87339927902173,60.189726581608426,1,2,275.5057927211616,6.078351158160486
59.8421602833002,74.71224617404692,1,2,74.63177334150257,3.463175336290856
67.4331907398417,71.07728386166312,1,1,114.48316488994959,5.125379026243637
46.26787611803711,37.32791558628911,0,0,74.50770867993384,38.050482392127826
37.25888278108372,32.19697511951664,0,0,54.666742502687086,19.146777759712293
54.84104903892284,73.89695145441254,1,2,314.6603087048193,4.229487137532167
72.66263885512602,69.39505956229911,0,0,40.65078904313144,20.68172175169169
76.12710933462824,77.13015010068068,1,0,91.11911456748504,5.587683525307983
63.672580602535206,61.47561328793703,0,0,24.443563997121146,11.371984486797555
64.5576980150659,50.903302137263196,0,0,81.98823932973639,54.35823049436628
59.81840515012358,54.30408254459801,0,0,33.49166388979345,25.604400596366773
54.283487879211144,68.07555953176839,1,2,63.97365483965706,4.266014604734907
71.42262090330621,59.86712038723615,0,0,87.51432688232538,68.12184550738057
56.89571275879876,66.83496092334777,1,1,677.5340965733435,12.704459349957316
57.23483597840181,38.40891083125958,0,0,166.86625649880298,89.97532732463033
60.814038574483725,58.313324046501116,0,0,35.18888478531881,17.66216663668361
57.53632485505701,52.08511283944961,0,0,34.53877889912455,23.547442228240463
53.91458734133802,62.140301792406476,1,2,97.70213067281473,2.118843874523023
61.860639125981415,63.137756758612376,0,0,31.40421032692139,14.28997712564392
53.67856024935187,77.27848455633308,1,3,33.921161761363145,2.0100655787467896
77.15458499077187,80.3716839796926,1,2,97.9460610200909,6.601618713698646
69.44074107089203,64.99624671511732,1,1,282.2298605883044,24.06791954006377
59.82283407325821,45.32171976373623,0,0,93.08633843535871,67.46383545562084
56.56247943177993,34.875572983975665,0,0,183.9093626979772,129.38896458105728
51.44768003127603,54.37953002059074,0,1,135.18185829310968,20.62968134657213
64.98414004259979,71.56066743429358,1,1,223.18552396832035,7.1181639022156356
67.14514393249252,43.41011312798158,0,0,118.08358446361783,115.7441952124814
50.69432595792455,46.96055454598391,0,0,23.702702137911032,15.583807712117697
51.29265334194359,31.455166644641157,0,0,101.39033899224833,91.79739803174783
47.0043542686912,42.923850358942566,0,0,102.23891450982653,17.78409345406035
54.8268477256509,47.052509051528084,0,0,58.8615855716185,40.62635705716401
44.92518767536917,42.6362031113134,0,0,26.83971582302817,13.937879504596083
52.10602219969335,60.565144374816256,1,1,69.85779516752797,5.448176270569055
59.75008469688582,58.30503784453816,0,0,138.4740906874949,17.581772959783468
66.0739312224324,37.13765708908121,0,0,169.97955810394689,143.46892461994048
38.526998511491385,35.21338961613924,0,0,20.677779414807215,11.84911052660474
35.26377944959617,30.75966229441007,0,0,27.612722644118566,18.496974307113906
30.397908536651098,33.22835121427108,1,1,87.25171072478032,2.1014048513051833
15.542536785266883,46.68032184199155,1,3,22.922387554540155,2.5218961993206865
23.8095589565096,39.92097108176569,1,3,50.00433501482005,2.1979653524458795
51.28131357316448,46.55827878060161,0,0,32.696373449432194,20.01567839033232
44.85019507818834,43.36450360606584,0,0,20.690016009961646,11.302322082998167
42.798367019488225,31.042904943559915,0,0,87.73010717776792,50.528846765259324
55.386669361715725,45.47919028821959,0,0,84.4107395453299,48.14432040664278
38.988917938888086,43.63788017253658,1,1,109.15651766018708,2.8541426557619984
43.17392244575974,38.5227003778738,0,0,34.089646587012595,21.106167060316
63.17609256729553,59.35360467584363,0,0,45.110270543446525,27.38853920463109
73.68885485650799,67.8604887355202,0,0,45.27960104724667,29.327714207420744
66.07084247993463,62.14385924795007,0,0,27.40052545023191,16.954853591335738
49.074757921239716,49.29862818960376,0,0,14.32916598932764,7.443600290211264
51.971262147587986,46.12373258962592,0,0,38.51758796916822,21.263495667173608
51.086357553441694,49.035420062293994,0,0,26.229172966840412,15.91473019404195
63.46568662181773,56.9116048443564,0,0,115.01566268341261,54.29325395302365
52.7518512222933,64.13611062246713,1,2,155.72177746190724,5.59356621282698
49.20474969116508,57.706960379780114,1,2,86.76045996390215,4.690093258006127
48.58736355804658,55.83672482733031,1,1,31.721777179954092,5.671600756629155
