event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
trip,0,122.62,100.0,96.6,2096.0,2118.77241
trip,0,67.46,96.6,86.3,2118.77241,2170.60421
trip,0,17.42,86.3,85.0,2170.60421,2184.03109
trip,0,49.74,85.0,79.5,2184.03109,2212.77946
charge,120,788.22,79.5,97.3,2212.77946,2212.77946
trip,0,154.1,97.3,73.9,2212.77946,2324.02942
trip,0,43.05,73.9,67.4,2324.02942,2359.32289
charge,DC Charging,94.66,67.4,90.1,2359.32289,2359.32289
trip,0,110.62,90.1,71.7,2359.32289,2445.8319
charge,120,182.54,71.7,76.2,2445.8319,2445.8319
trip,0,82.53,76.2,67.5,2445.8319,2482.36984
trip,0,90.15,67.5,57.6,2482.36984,2535.55492
trip,0,60.11,57.6,51.4,2535.55492,2569.3145
trip,0,122.58,51.4,32.2,2569.3145,2667.55854
trip,0,26.05,32.2,29.3,2667.55854,2688.30871
trip,0,24.33,29.3,27.1,2688.30871,2709.81384
trip,0,30.3,27.1,21.3,2709.81384,2736.93678
trip,0,26.48,21.3,17.3,2736.93678,2753.76125
charge,DC Charging,40.21,17.3,48.3,2753.76125,2753.76125
trip,0,179.69,48.3,27.6,2753.76125,2862.90105
trip,0,33.97,27.6,23.2,2862.90105,2886.79532
trip,0,42.09,23.2,16.1,2886.79532,2921.80325
charge,DC Charging,39.67,16.1,44.5,2921.80325,2921.80325
trip,0,58.52,44.5,45.4,2921.80325,2927.76975
charge,240,82.48,45.4,69.4,2927.76975,2927.76975
trip,0,21.1,69.4,67.1,2927.76975,2942.74167
trip,0,14.1,67.1,65.9,2942.74167,2954.72434
trip,0,109.59,65.9,51.2,2954.72434,3031.0406
charge,240,39.33,51.2,65.6,3031.0406,3031.0406
trip,0,88.3,65.6,49.2,3031.0406,3105.14121
trip,0,21.32,49.2,46.1,3105.14121,3120.35018
trip,0,75.23,46.1,36.8,3120.35018,3172.46056
trip,0,19.14,36.8,34.4,3172.46056,3185.2741
charge,120,1067.15,34.4,49.6,3185.2741,3185.2741
trip,0,164.25,49.6,25.6,3185.2741,3301.96609
trip,0,27.06,25.6,23.3,3301.96609,3323.47946
trip,0,10.32,23.3,22.0,3323.47946,3331.35355
trip,0,22.94,22.0,19.6,3331.35355,3347.61388
charge,DC Charging,169.92,19.6,76.2,3347.61388,3347.61388
trip,0,98.5,76.2,59.3,3347.61388,3422.90459
trip,0,32.85,59.3,53.4,3422.90459,3444.6976
charge,240,88.07,53.4,75.2,3444.6976,3444.6976
trip,0,12.93,75.2,73.2,3444.6976,3455.88427
charge,120,116.86,73.2,78.5,3455.88427,3455.88427
trip,0,221.8,78.5,74.6,3455.88427,3484.44915
trip,0,239.44,74.6,70.8,3484.44915,3517.26776
charge,120,460.94,70.8,78.4,3517.26776,3517.26776
trip,0,44.16,78.4,71.7,3517.26776,3549.73043
trip,0,85.58,71.7,59.7,3549.73043,3608.86703
trip,0,12.63,59.7,58.8,3608.86703,3617.22597
charge,120,321.58,58.8,68.1,3617.22597,3617.22597
trip,0,211.69,68.1,56.0,3617.22597,3676.40109
trip,0,68.51,56.0,51.0,3676.40109,3701.04687
charge,240,65.1,51.0,66.7,3701.04687,3701.04687
trip,0,20.83,66.7,65.2,3701.04687,3715.43295
charge,120,81.39,65.2,70.8,3715.43295,3715.43295
trip,0,42.34,70.8,70.2,3715.43295,3720.99661
charge,120,103.83,70.2,75.8,3720.99661,3720.99661
trip,0,34.48,75.8,71.0,3720.99661,3747.35509
trip,0,32.93,71.0,69.0,3747.35509,3758.68685
trip,0,107.52,69.0,50.7,3758.68685,3847.58834
trip,0,38.43,50.7,46.3,3847.58834,3873.47249
charge,120,301.08,46.3,51.7,3873.47249,3873.47249
trip,0,38.94,51.7,46.7,3873.47249,3899.80102
charge,120,57.19,46.7,49.4,3899.80102,3899.80102
