event,charge_mode,duration_minutes,km_driven,charge,id,delta_soc,min_per_perc_of_battery,charge_per_min,soc,end_soc,charge_mode_label
1,120,343.97445489718604,10.386721324360908,6.919550298393105,2,6.919550298393105,49.71052164720381,0.020116465626673814,0,6.919550298393105,120
1,120,572.6853016308982,7.041224745683493,11.667473914386363,3,11.667473914386363,49.083915321615514,0.020373272862354998,0,11.667473914386363,120
1,240,67.93831902341493,1.080015217938121,9.237722754886477,7,9.237722754886477,7.354444469279792,0.13597220077969102,0,9.237722754886477,240
1,120,279.34846599325067,3.5302401577376745,7.046600137980661,8,7.046600137980661,39.64301372623413,0.025225125589738925,0,7.046600137980661,120
1,360,25.854868463619013,3.4357892456818204,27.472713770022267,13,27.472713770022267,0.9411108301878565,1.062574107026681,0,27.472713770022267,DC_Charging
1,360,31.53180477555389,1.5335437630109028,11.401075597573891,14,11.401075597573891,2.7656868429382,0.3615738356471421,0,11.401075597573891,DC_Charging
1,120,192.47936212501463,3.730620654238565,4.792776951400285,18,4.792776951400285,40.160300401373526,0.02490021214995192,0,4.792776951400285,120
1,360,61.54982360019158,4.6167650051049725,27.68618714382657,20,27.68618714382657,2.223123873303583,0.4498174897082953,0,27.68618714382657,DC_Charging
1,360,37.469197088888016,2.769127923883456,7.3042636742368785,21,7.3042636742368785,5.129770605221567,0.19494049090267412,0,7.3042636742368785,DC_Charging
1,360,38.70839869799606,1.9007686470364336,36.54180577008442,26,36.54180577008442,1.059290800830794,0.9440278337314997,0,36.54180577008442,DC_Charging
1,360,48.766872561213226,2.4885985395990384,35.7169060841111,27,35.7169060841111,1.3653722538668456,0.7324009969939834,0,35.7169060841111,DC_Charging
1,360,82.26438633769259,5.6758512818943485,17.410046726762687,29,17.410046726762687,4.725110025766671,0.21163528352712704,0,17.410046726762687,DC_Charging
1,240,77.96387762226237,2.1059836405368304,3.238360716986435,34,3.238360716986435,24.075106029205504,0.04153668103421436,0,3.238360716986435,240
1,120,210.9406485217381,5.491875882781336,5.711061350374948,35,5.711061350374948,36.93545482712933,0.027074257097424278,0,5.711061350374948,120
1,360,80.95273217223898,3.471169197860199,20.88709724228073,39,20.88709724228073,3.8757291754437913,0.25801596415350536,0,20.88709724228073,DC_Charging
