soc,end_soc,event,charge_mode,duration_minutes,km_driven
56.34436934702022,54.40861616936142,0,0,31.423168224943094,17.29356001495379
55.17777373781532,52.902504986931284,0,0,17.648334152027935,10.909422518892567
48.57284301719806,45.049574414651175,0,0,22.134289055321346,9.632825086228486
47.37653623597771,42.46278668732606,0,0,32.51534317226023,23.574493715021035
39.832995914320655,38.49188725604443,0,0,13.266636657269325,8.467704969485414
38.88058475346069,33.99650556205441,0,0,25.688878388514116,18.699730138582353
35.685473326418844,40.049794010573706,1,1,68.99701982341058,1.7449274422499967
24.259008376950632,27.56557386766334,1,1,162.54523824978762,3.67458367054889
19.181654946365164,27.44701471564573,1,2,116.39641243063966,3.0600383038924073
46.721259802665266,49.30227825884451,0,0,42.74940923445423,16.592667136537802
42.33458686919016,46.756591945529586,1,1,205.91915873736218,6.327734561447573
32.958041802772826,37.15717406379014,1,1,121.84180758020608,2.8702228352217074
47.06270676895194,43.760808511914014,0,0,37.32487659717934,20.541207867750913
35.54971245272202,45.35802705695261,1,1,332.6039518286397,4.563947614674258
48.69381013725559,38.54899449606853,0,0,81.01076775454592,57.996713933969204
63.20225197303095,63.35452728859655,0,0,22.423299563321937,12.40599555268165
74.01175211226328,72.79542048406446,0,0,22.73302550915307,11.08645400802851
72.1838377531837,64.92442206904265,0,0,50.06524957970088,32.31079680069686
54.89982717595236,42.444762427500656,0,0,55.383186324511215,35.58987487163824
48.29335496001032,47.80828312714784,0,0,28.05823508605939,15.10952545263792
78.38506637823167,60.61422418644298,0,0,197.60005363332883,121.29508534859666
68.91288820727169,55.88296630153251,0,0,123.3037277224539,31.346137485373514
56.83042928142474,65.52300073733824,1,2,59.5142799683262,2.332347004854535
43.616274085488925,75.89621423059056,1,3,35.98238827097904,1.7775893546975585
66.32200268460545,72.48020704187083,1,1,50.398983592857995,2.914072666942242
64.21155178877794,68.90303022864616,1,1,160.95745178382393,2.7199878295275877
63.50692162175555,74.07692710730416,1,1,1333.4757797201476,28.17007512785307
79.53735714089655,52.769914859794945,0,0,451.10240393182016,174.01743420344468
78.50297351503255,69.21503487862665,0,0,99.2735845198854,54.09285232364939
67.37994012895814,69.00950329318526,1,1,397.52176587807287,14.020659787329581
30.220061389478886,27.556410559509697,0,0,28.46200411910952,15.66992276227006
28.443637575725493,24.789493277119757,0,0,24.13395387242804,17.556764317429327
21.709651198481787,40.717364435383985,1,3,44.5725479297568,1.7638022681065137
53.0432053423729,51.233083169232586,0,0,19.724516295895818,12.621972109734644
57.05348595565949,48.04763777957608,0,0,56.719593121749554,42.60142413209687
50.45598374702712,52.57114952211028,1,1,78.10577506222623,1.962908100128225
43.55439857818928,47.69172061748356,1,1,77.04215462151043,1.8984956303974772
55.25797175764139,51.431352751244255,0,0,28.525996217086586,19.917713433648455
57.678303476686985,56.44635721277437,0,0,20.468372958817856,11.669979838713367
