event,charge_mode,duration_minutes,km_driven,avg_speed,charge,discharge_per_km,charge_per_min
0,0,44.77046603191202,19.81933849922108,28.809029880107758,-2.791567156022893,0.43143778547787764,0.02043465972688105
0,0,31.68749044623563,21.2752046878826,34.78522348299926,-3.44648481391188,0.1231666676150171,0.01218762517715292
1,3,56.3199550426225,2.5571194160215205,1.2395934494304162,21.4511092104851,0.009255983298997295,0.46181423656555115
0,0,36.42346825635175,21.567949929622493,34.28162306426541,-3.4381024636989395,0.018164630411218963,0.005901497906088875
0,0,52.6856200982498,25.827025555384118,35.663237352445776,-3.8524854283965766,0.04100741742905184,0.004250959944359236
1,0,115.3781497536934,4.517614846439224,3.426599719096161,3.3543902591330124,-0.022347953618046257,0.017317396185272654
0,0,120.3854174376915,84.48752585983604,43.23409796436959,-17.529467737617004,0.13346218677687377,0.004970592110509472
1,1,137.35691308180935,3.093900915762329,1.47935915914612,5.999002752338043,-0.035624888292684675,0.04679528751338087
0,0,50.965768120039485,24.587450099159792,33.99972833149015,-3.969108770525253,0.12708488712574711,0.004886525525943609
0,0,106.39433426948939,24.499441543552866,26.811375012446156,-2.8710664901821445,0.601621012044854,0.006985754102702997
0,0,98.94496869797076,9.774356870236915,10.479932912529204,1.1979983685848339,0.31493582233400114,0.016004247259626257
1,1,329.9017233419649,3.658586789831741,1.2795455387495027,7.400276361644785,0.05246411896360509,0.023165176494890638
1,1,539.064668146262,4.193703899686847,0.8431447083042485,7.125087527953838,0.019047282485391337,0.02496525443250034
0,0,182.3694636765121,131.9786376035503,48.14909773285892,-25.32219218919117,0.27456898711482675,0.004789270923630055
0,0,54.90259110833182,33.98207177654665,41.027433264803044,-6.84645877530923,0.08944036381994264,0.004852242142006987
0,0,56.406769420083805,63.702465766189874,51.47300296532827,-14.275386947763721,0.10653605330585542,0.007791798657282488
0,0,53.30429249526881,62.233190064941645,51.06732163946169,-13.97553363753957,0.09519445496354323,0.008338975816593087
0,0,75.8883701824843,48.693831468769396,40.46232932272653,-10.758751646276636,0.10626747919062635,0.0058743255664398895
1,2,112.08332884879475,2.5542981774257134,1.0289777351285334,8.342709391797172,0.007340316499522437,0.11752521374560296
1,1,69.93520781007044,7.454242805243836,4.623896307781759,4.649619158674113,0.3197721476447836,0.1365100986750707
0,0,50.06194408119012,24.823901592798485,30.43324438601868,-2.990737268788962,0.35267718773488094,0.018522870009261182
1,3,49.1209249111562,3.121091175078073,1.3990086733899407,29.20784579312597,0.10769985828293221,0.800904677416706
1,1,160.24934708393798,3.8763596411217636,1.5824235943043947,6.146913615615148,-0.05166896198889487,0.04378829737050719
0,0,56.165725409104574,32.34191002574046,35.30588790375143,-4.9712213983406315,0.015524202034607859,0.005056074584908644
1,2,150.73932123947827,2.17796678604755,0.7250750128645425,8.130429982460527,-0.08633134128070091,0.07444268069288433
1,1,427.5477818765269,2.852284723977619,0.5840826209517365,9.113391637894566,-0.050953233826845856,0.028491117861292138
1,2,72.75790498774276,3.096373461947419,1.1122494198360906,18.198491342133167,-0.0476251003016554,0.34185072772037983
1,2,109.82504462262042,3.750146372595088,1.1723834447889783,10.917261244373762,-0.03153692799846003,0.18945469641049056
0,0,140.12548685783707,115.2641239545546,47.23609835832915,-23.653967704154354,0.3441085564238742,0.007316536813170276
0,0,69.67485659922465,40.31698024407655,41.89085886409306,-6.651825619095405,0.5536321114289251,0.013358947352794465
0,0,144.57244496779882,92.7687156110431,48.802282354540715,-17.49360526195526,0.7274602724168675,0.012571315256663784
0,0,139.63121371678554,116.16781070361111,53.59038540858787,-22.169227773552215,0.3564588861175984,0.006474814940752462
0,0,27.931164590194165,16.248608460522508,33.47667150969885,-2.6573659571013337,0.055801868704856206,0.008874039192273095
1,0,286.2413459267187,4.189373069502821,2.262197132647185,7.289709894511333,0.029998744142778644,0.010341108837665432
0,0,83.5898066726949,38.37111880015046,36.84669900849309,-6.404937666812458,0.10688893929523241,0.003217915690460312
0,0,60.07496090537657,36.11033527716284,41.97516008767475,-6.857037407672266,0.08299264238453347,0.004146438196439436
0,0,60.53875286438778,24.37960124520753,33.21493208365538,-4.2207844659035345,0.10036972760708945,0.003425369523300603
